GBP/CHF
Date,Open Price,High Price,Low Price,Close Price
2007-09-11,2.40360,2.41810,2.40260,2.41620
2007-09-10,2.41000,2.41200,2.40240,2.40390
2007-09-07,2.42930,2.43170,2.40400,2.41020
2007-09-06,2.43180,2.44070,2.42420,2.42940
2007-09-05,2.43900,2.44030,2.42920,2.43210
2007-09-04,2.44010,2.44220,2.43370,2.43870
2007-09-03,2.43680,2.44170,2.43010,2.43950
2007-08-31,2.42430,2.43860,2.41970,2.43710
2007-08-30,2.41940,2.42740,2.41510,2.42420
2007-08-29,2.40120,2.42240,2.40070,2.41950
2007-08-28,2.41780,2.41840,2.40050,2.40080
2007-08-27,2.42250,2.42730,2.41770,2.41770
2007-08-24,2.42010,2.42080,2.40410,2.41680
2007-08-23,2.40420,2.42830,2.40280,2.41980
2007-08-22,2.39020,2.40820,2.38860,2.40340
2007-08-21,2.39580,2.39910,2.37840,2.38970
2007-08-20,2.39230,2.40230,2.38240,2.39640
2007-08-17,2.41130,2.41600,2.37660,2.39250
2007-08-16,2.42430,2.42500,2.39880,2.41140
2007-08-15,2.41740,2.43270,2.40850,2.42430
2007-08-14,2.42510,2.42800,2.41320,2.41760
2007-08-13,2.42390,2.42880,2.40730,2.42520
2007-08-10,2.41970,2.43300,2.40800,2.42490
2007-08-09,2.43700,2.43760,2.41970,2.42010
2007-08-08,2.42000,2.43750,2.41280,2.43690
2007-08-07,2.42000,2.42340,2.40800,2.41920
2007-08-06,2.43020,2.43090,2.40540,2.41980
2007-08-03,2.45320,2.45680,2.42470,2.42920
2007-08-02,2.44650,2.45560,2.43970,2.45360
2007-08-01,2.43850,2.44830,2.42060,2.44740
2007-07-31,2.43490,2.45100,2.43350,2.43930
2007-07-30,2.44450,2.44710,2.42990,2.43490
2007-07-27,2.46520,2.46830,2.44370,2.44560
2007-07-26,2.49160,2.49190,2.46380,2.46590
2007-07-25,2.48060,2.49640,2.47520,2.49130
2007-07-24,2.48220,2.48980,2.47780,2.48080
2007-07-23,2.46790,2.48470,2.46510,2.48310
2007-07-20,2.46490,2.47520,2.46420,2.46830
2007-07-19,2.46440,2.46760,2.45650,2.46490
2007-07-18,2.46120,2.46660,2.45300,2.46450
2007-07-17,2.45020,2.46250,2.44100,2.46160
2007-07-16,2.44560,2.45120,2.44380,2.45000
2007-07-13,2.44170,2.44700,2.43950,2.44550
2007-07-12,2.45100,2.45130,2.43900,2.44200
2007-07-11,2.43710,2.45190,2.43030,2.45140
2007-07-10,2.45130,2.45500,2.43670,2.43720
2007-07-09,2.44930,2.45480,2.44750,2.45150
2007-07-06,2.44860,2.45400,2.44760,2.44890
2007-07-05,2.45210,2.45440,2.43950,2.44770
2007-07-04,2.45040,2.45530,2.44970,2.45220
2007-07-03,2.44190,2.45480,2.43970,2.45010
2007-07-02,2.45230,2.45620,2.43170,2.44170
2007-06-29,2.46520,2.46870,2.44990,2.45310
2007-06-28,2.45640,2.46810,2.45290,2.46520
2007-06-27,2.45400,2.45780,2.44860,2.45710
2007-06-26,2.45360,2.45810,2.45020,2.45410
2007-06-25,2.45660,2.45970,2.45180,2.45330
2007-06-22,2.47300,2.47380,2.45500,2.45690
2007-06-21,2.46560,2.47490,2.46510,2.47320
2007-06-20,2.46660,2.46780,2.45970,2.46550
2007-06-19,2.46290,2.46700,2.45840,2.46690
2007-06-18,2.45200,2.46350,2.45200,2.46300
2007-06-15,2.45430,2.45820,2.45010,2.45220
2007-06-14,2.45440,2.45660,2.44690,2.45350
2007-06-13,2.45210,2.45700,2.44850,2.45490
2007-06-12,2.43760,2.45640,2.43690,2.45240
2007-06-11,2.43330,2.43940,2.42900,2.43750
2007-06-08,2.42000,2.43350,2.41480,2.43280
2007-06-07,2.42240,2.43440,2.41970,2.42040
2007-06-06,2.42740,2.43110,2.42200,2.42280
2007-06-05,2.43640,2.43820,2.42430,2.42770
2007-06-04,2.43730,2.43940,2.43060,2.43620
2007-06-01,2.42520,2.43870,2.42330,2.43740
2007-05-31,2.42130,2.42590,2.41740,2.42530
2007-05-30,2.42760,2.42770,2.41770,2.42110
2007-05-29,2.43660,2.43870,2.42080,2.42730
2007-05-28,2.43440,2.43740,2.43290,2.43670
2007-05-25,2.43610,2.44070,2.43310,2.43600
2007-05-24,2.43790,2.44440,2.43560,2.43640
2007-05-23,2.42770,2.44010,2.42320,2.43850
2007-05-22,2.42560,2.43150,2.42320,2.42770
2007-05-21,2.42390,2.42750,2.41940,2.42510
2007-05-18,2.42250,2.42400,2.41560,2.42300
2007-05-17,2.41690,2.42370,2.41170,2.42270
2007-05-16,2.41240,2.42080,2.40830,2.41840
2007-05-15,2.41270,2.41410,2.40550,2.41310
2007-05-14,2.41350,2.41990,2.40980,2.41250
2007-05-11,2.41460,2.41700,2.40870,2.41460
2007-05-10,2.42900,2.43060,2.41310,2.41480
2007-05-09,2.42320,2.43030,2.41990,2.42910
2007-05-08,2.41330,2.42690,2.41250,2.42290
2007-05-07,2.41300,2.41690,2.41060,2.41330
2007-05-04,2.41560,2.41770,2.40970,2.41310
2007-05-03,2.41460,2.41900,2.40930,2.41520
2007-05-02,2.42640,2.42740,2.41180,2.41430
2007-05-01,2.41320,2.43050,2.41130,2.42700
2007-04-30,2.40420,2.41490,2.40160,2.41350
2007-04-27,2.40600,2.41600,2.40020,2.40760
2007-04-26,2.41030,2.41560,2.40210,2.40630
2007-04-25,2.40530,2.41310,2.40260,2.41020
2007-04-24,2.41910,2.41950,2.40400,2.40500
2007-04-23,2.42010,2.42390,2.41220,2.41960
2007-04-20,2.41260,2.42220,2.41130,2.41900
2007-04-19,2.41740,2.41790,2.40370,2.41320
2007-04-18,2.42500,2.42670,2.41300,2.41760
2007-04-17,2.41550,2.42710,2.41250,2.42480
2007-04-16,2.41050,2.41710,2.40800,2.41560
2007-04-13,2.40750,2.41340,2.39790,2.41230
2007-04-12,2.41030,2.41510,2.40200,2.40830
2007-04-11,2.39960,2.41410,2.39900,2.41040
2007-04-10,2.40710,2.40740,2.39550,2.39940
2007-04-09,2.40190,2.40730,2.39860,2.40730
2007-04-06,2.39410,2.40250,2.39360,2.40140
2007-04-05,2.41050,2.41250,2.39090,2.39410
2007-04-04,2.41280,2.41420,2.40510,2.41030
2007-04-03,2.40310,2.41380,2.40190,2.41330
2007-04-02,2.38890,2.40400,2.38770,2.40330
2007-03-30,2.38830,2.39550,2.38200,2.39130
2007-03-29,2.38490,2.39140,2.38390,2.38840
2007-03-28,2.38350,2.38850,2.37500,2.38520
2007-03-27,2.39290,2.39550,2.38130,2.38400
2007-03-26,2.39050,2.40010,2.38720,2.39340
2007-03-23,2.38520,2.39160,2.38200,2.39070
2007-03-22,2.37980,2.38940,2.37980,2.38560
2007-03-21,2.37610,2.38330,2.37330,2.37970
2007-03-20,2.35600,2.37870,2.35520,2.37620
2007-03-19,2.34080,2.36120,2.33690,2.35650
2007-03-16,2.35800,2.35800,2.34160,2.34380
2007-03-15,2.35590,2.36220,2.34870,2.35780
2007-03-14,2.34860,2.35560,2.33500,2.35540
2007-03-13,2.36590,2.36750,2.34700,2.34830
2007-03-12,2.38780,2.38990,2.36030,2.36590
2007-03-09,2.36650,2.38710,2.36420,2.38510
2007-03-08,2.35170,2.37130,2.34490,2.36700
2007-03-07,2.36200,2.36870,2.35130,2.35260
2007-03-06,2.34450,2.36490,2.34010,2.36200
2007-03-05,2.36400,2.36430,2.32890,2.34400
2007-03-02,2.39210,2.39650,2.36300,2.36370
2007-03-01,2.39410,2.39640,2.38270,2.39200
2007-02-28,2.38870,2.39620,2.38540,2.39440
2007-02-27,2.41460,2.41520,2.38300,2.38870
2007-02-26,2.41940,2.42140,2.41300,2.41430
2007-02-23,2.42250,2.43020,2.41510,2.41960
2007-02-22,2.41910,2.42670,2.41650,2.42220
2007-02-21,2.41700,2.42050,2.41130,2.41850
2007-02-20,2.40440,2.41890,2.40330,2.41710
2007-02-19,2.40570,2.41240,2.39740,2.40460
2007-02-16,2.40890,2.41270,2.40530,2.40800
2007-02-15,2.43320,2.43460,2.40820,2.40820
2007-02-14,2.42740,2.43440,2.42130,2.43290
2007-02-13,2.44050,2.44180,2.42060,2.42710
2007-02-12,2.43220,2.44190,2.43200,2.44110
2007-02-09,2.44020,2.44550,2.43060,2.43120
2007-02-08,2.44550,2.45950,2.43410,2.44030
2007-02-07,2.44350,2.44640,2.43840,2.44560
2007-02-06,2.44720,2.45090,2.44120,2.44300
2007-02-05,2.45330,2.45520,2.44190,2.44730
2007-02-02,2.44500,2.45610,2.44260,2.45340
2007-02-01,2.44430,2.44940,2.43990,2.44520
2007-01-31,2.45570,2.46150,2.43820,2.44440
2007-01-30,2.45700,2.46620,2.45450,2.45580
2007-01-29,2.45580,2.45910,2.45270,2.45720
2007-01-26,2.45220,2.46120,2.45070,2.45510
2007-01-25,2.45700,2.45760,2.44800,2.45190
2007-01-24,2.46190,2.46470,2.45140,2.45720
2007-01-23,2.46800,2.47560,2.45930,2.46130
2007-01-22,2.46370,2.47210,2.46220,2.46780
2007-01-19,2.46140,2.46890,2.45800,2.46290
2007-01-18,2.45800,2.46870,2.45370,2.46140
2007-01-17,2.44750,2.45980,2.44630,2.45650
2007-01-16,2.45230,2.45370,2.44060,2.44790
2007-01-15,2.45220,2.45340,2.45110,2.45250
2007-01-12,2.43010,2.44460,2.42710,2.44260
2007-01-11,2.40780,2.43090,2.40520,2.43020
2007-01-10,2.40700,2.41260,2.40400,2.40790
2007-01-09,2.39580,2.41050,2.39490,2.40720
2007-01-08,2.38460,2.39640,2.38230,2.39600
2007-01-05,2.39470,2.39640,2.38130,2.38440
2007-01-04,2.39200,2.39710,2.38680,2.39520
2007-01-03,2.39470,2.39930,2.38400,2.39210
2007-01-02,2.38740,2.39470,2.38530,2.39470
2007-01-01,2.38730,2.38870,2.38640,2.38720
2006-12-29,2.39740,2.39970,2.38510,2.38750
2006-12-28,2.39870,2.40110,2.39070,2.39770
2006-12-27,2.38950,2.39930,2.38600,2.39900
2006-12-26,2.38780,2.40820,2.38580,2.38950
2006-12-25,2.38780,2.40820,2.38630,2.40780
2006-12-22,2.38510,2.39090,2.38240,2.38850
2006-12-21,2.39240,2.39390,2.38440,2.38510
2006-12-20,2.39080,2.39490,2.38870,2.39230
2006-12-19,2.38000,2.39370,2.37910,2.39130
2006-12-18,2.38490,2.38720,2.37870,2.37990
2006-12-15,2.38080,2.38640,2.37930,2.38390
2006-12-14,2.37130,2.38230,2.36820,2.38080
2006-12-13,2.36370,2.37320,2.36170,2.37160
2006-12-12,2.35450,2.36480,2.35240,2.36360
2006-12-11,2.35490,2.35600,2.34860,2.35470
2006-12-08,2.34670,2.35670,2.34030,2.35520
2006-12-07,2.35130,2.35290,2.34430,2.34600
2006-12-06,2.35200,2.35490,2.34700,2.35160
2006-12-05,2.36320,2.36450,2.34830,2.35240
2006-12-04,2.35820,2.36920,2.35820,2.36350
2006-12-01,2.35430,2.36600,2.35330,2.36330
2006-11-30,2.35430,2.36120,2.35160,2.35460
2006-11-29,2.34710,2.35830,2.34570,2.35430
2006-11-28,2.33820,2.35350,2.33660,2.34750
2006-11-27,2.33010,2.34130,2.32390,2.33780
2006-11-24,2.34550,2.34550,2.33410,2.33570
2006-11-23,2.34790,2.34970,2.33860,2.34530
2006-11-22,2.35630,2.35920,2.34670,2.34740
2006-11-21,2.35990,2.36250,2.35540,2.35670
2006-11-20,2.35670,2.36060,2.35040,2.36030
2006-11-17,2.35600,2.36370,2.35420,2.35660
2006-11-16,2.35250,2.35940,2.35160,2.35570
2006-11-15,2.35700,2.36460,2.35200,2.35290
2006-11-14,2.36620,2.36790,2.35550,2.35670
2006-11-13,2.37030,2.37030,2.36060,2.36600
2006-11-10,2.36780,2.37260,2.36210,2.37210
2006-11-09,2.38320,2.38330,2.36590,2.36750
2006-11-08,2.38090,2.38350,2.37470,2.38340
2006-11-07,2.38210,2.38530,2.37660,2.38100
2006-11-06,2.38320,2.38480,2.38090,2.38200
2006-11-03,2.37610,2.38650,2.37360,2.38230
2006-11-02,2.37720,2.37800,2.37240,2.37600
2006-11-01,2.37220,2.37750,2.36940,2.37680
2006-10-31,2.37330,2.38160,2.36820,2.37210
2006-10-30,2.37020,2.37780,2.36670,2.37300
2006-10-27,2.37000,2.37330,2.36620,2.37000
2006-10-26,2.37430,2.37480,2.36720,2.37040
2006-10-25,2.37200,2.37610,2.37100,2.37410
2006-10-24,2.37200,2.37510,2.37000,2.37180
2006-10-23,2.36830,2.37370,2.36710,2.37180
2006-10-20,2.36060,2.37210,2.35720,2.37070
2006-10-19,2.37170,2.37360,2.35870,2.36050
2006-10-18,2.37420,2.37810,2.36960,2.37130
2006-10-17,2.36460,2.37420,2.36090,2.37420
2006-10-16,2.36310,2.36870,2.36100,2.36470
2006-10-13,2.35700,2.36790,2.35590,2.36140
2006-10-12,2.35830,2.36120,2.35500,2.35740
2006-10-11,2.35590,2.36000,2.35390,2.35830
2006-10-10,2.35540,2.35780,2.35070,2.35570
2006-10-09,2.35680,2.35980,2.34900,2.35540
2006-10-06,2.35250,2.36510,2.34850,2.35680
2006-10-05,2.35470,2.35850,2.34900,2.35240
2006-10-04,2.35060,2.35850,2.34640,2.35460
2006-10-03,2.34520,2.35210,2.34340,2.35070
2006-10-02,2.34290,2.34600,2.33500,2.34490
2006-09-29,2.33970,2.34590,2.33630,2.34100
2006-09-28,2.34960,2.35090,2.33660,2.33980
2006-09-27,2.35550,2.35680,2.34740,2.34960
2006-09-26,2.35320,2.36110,2.35070,2.35560
2006-09-25,2.34770,2.35460,2.34110,2.35330
2006-09-22,2.36310,2.36410,2.34490,2.34730
2006-09-21,2.36050,2.37750,2.35830,2.36290
2006-09-20,2.35520,2.36370,2.35300,2.36140
2006-09-19,2.35130,2.36530,2.34840,2.35460
2006-09-18,2.36160,2.36230,2.34820,2.35110
2006-09-15,2.35980,2.37060,2.35610,2.36020
2006-09-14,2.34600,2.36360,2.34410,2.36030
2006-09-13,2.34380,2.34900,2.34090,2.34620
2006-09-12,2.32150,2.34480,2.31670,2.34410
2006-09-11,2.32690,2.32980,2.31540,2.32170
2006-09-08,2.33130,2.33190,2.32440,2.32680
2006-09-07,2.32840,2.33300,2.32300,2.33060
2006-09-06,2.33620,2.33810,2.32430,2.32870
2006-09-05,2.34110,2.34530,2.33440,2.33630
2006-09-04,2.34430,2.34430,2.33820,2.34140
2006-09-01,2.34430,2.34950,2.34060,2.34540
2006-08-31,2.33540,2.34720,2.33340,2.34420
2006-08-30,2.33350,2.34220,2.32960,2.33660
2006-08-29,2.34050,2.34250,2.33010,2.33340
2006-08-28,2.33840,2.34380,2.33520,2.34050
2006-08-25,2.33740,2.34200,2.33080,2.33900
2006-08-24,2.33790,2.34050,2.33030,2.33760
2006-08-23,2.32890,2.33970,2.32880,2.33790
2006-08-22,2.31710,2.33250,2.31660,2.32920
2006-08-21,2.31870,2.32270,2.31130,2.31730
2006-08-18,2.32380,2.32660,2.31600,2.31950
2006-08-17,2.33120,2.33150,2.32070,2.32340
2006-08-16,2.34230,2.34350,2.32900,2.33130
2006-08-15,2.34470,2.35050,2.34070,2.34230
2006-08-14,2.34710,2.34760,2.34080,2.34480
2006-08-11,2.33630,2.34980,2.33560,2.34890
2006-08-10,2.33480,2.34090,2.32360,2.33630
2006-08-09,2.33810,2.33980,2.33000,2.33490
2006-08-08,2.33600,2.34090,2.33250,2.33820
2006-08-07,2.32900,2.33750,2.32770,2.33540
2006-08-04,2.32280,2.33570,2.31670,2.33200
2006-08-03,2.30910,2.32780,2.30740,2.32320
2006-08-02,2.30010,2.31160,2.29920,2.30900
2006-08-01,2.29800,2.30800,2.29630,2.29970
2006-07-31,2.29400,2.30180,2.29200,2.29850
2006-07-28,2.30080,2.30650,2.29080,2.29810
2006-07-27,2.30020,2.30500,2.29670,2.30110
2006-07-26,2.30620,2.30760,2.29870,2.29980
2006-07-25,2.30680,2.30770,2.30040,2.30590
2006-07-24,2.29680,2.31170,2.29650,2.30580
2006-07-21,2.29840,2.30230,2.29410,2.29750
2006-07-20,2.29890,2.30270,2.29640,2.29790
2006-07-19,2.28710,2.30290,2.28510,2.29860
2006-07-18,2.27020,2.29060,2.26930,2.28630
2006-07-17,2.26820,2.27220,2.26520,2.26990
2006-07-14,2.26590,2.27140,2.26270,2.26830
2006-07-13,2.26280,2.26910,2.25800,2.26620
2006-07-12,2.26140,2.26930,2.26070,2.26300
2006-07-11,2.26510,2.26810,2.25910,2.26230
2006-07-10,2.26150,2.26720,2.25880,2.26500
2006-07-07,2.25660,2.26540,2.25030,2.26390
2006-07-06,2.25930,2.26230,2.25400,2.25680
2006-07-05,2.25690,2.26510,2.25460,2.25990
2006-07-04,2.25570,2.26360,2.25400,2.25770
2006-07-03,2.25900,2.26370,2.25110,2.25550
2006-06-30,2.25870,2.26620,2.25550,2.26020
2006-06-29,2.26660,2.26700,2.25800,2.25890
2006-06-28,2.26310,2.26790,2.25990,2.26570
2006-06-27,2.26400,2.27040,2.26330,2.26400
2006-06-26,2.27140,2.27240,2.26190,2.26440
2006-06-23,2.27190,2.27560,2.26820,2.26990
2006-06-22,2.27600,2.27900,2.27030,2.27170
2006-06-21,2.28170,2.28340,2.27290,2.27620
2006-06-20,2.28220,2.28790,2.27790,2.28180
2006-06-19,2.27620,2.28620,2.27580,2.28240
2006-06-16,2.27620,2.28250,2.27420,2.27620
2006-06-15,2.26800,2.27770,2.26720,2.27580
2006-06-14,2.27200,2.27370,2.26640,2.26840
2006-06-13,2.27320,2.27560,2.26810,2.27190
2006-06-12,2.26900,2.27760,2.26610,2.27340
2006-06-09,2.27110,2.27340,2.26120,2.26580
2006-06-08,2.26510,2.27480,2.25860,2.27100
2006-06-07,2.26130,2.27190,2.25990,2.26570
2006-06-06,2.26130,2.26750,2.25800,2.26190
2006-06-05,2.27180,2.27300,2.25730,2.26060
2006-06-02,2.27730,2.27820,2.27090,2.27380
2006-06-01,2.28020,2.28490,2.27470,2.27650
2006-05-31,2.28080,2.28310,2.27170,2.27970
